"_id","count","school","pincode","city"
"aditya dive(000000)","1","Aditya Dive","000000","Not-Applicable"
"air forces school jalahalli(000000)","1","Air forces school jalahalli","000000","Not-Applicable"
"akal academy chak dashraj(000000)","4","Akal Academy Chak Dashraj","000000","Not-Applicable"
"akal academy chak desraj jalandhar(000000)","1","Akal Academy chak Desraj jalandhar","000000","Not-Applicable"
"alexander public school(000000)","1","Alexander public school","000000","Not-Applicable"
"anand vidya aashram mandir(000000)","1","Anand Vidya aashram Mandir","000000","Not-Applicable"
"anmol kumar(000000)","1","Anmol Kumar","000000","Not-Applicable"
"ansh kushwha(000000)","1","Ansh kushwha","000000","Not-Applicable"
"anushka pandey(000000)","2","Anushka Pandey","000000","Not-Applicable"
"anushka gupta(000000)","1","Anushka gupta","000000","Not-Applicable"
"appasaheb birnale  public school(000000)","8","AppaSaheb Birnale  public school","000000",""
"aps meerut(000000)","2","Aps meerut","000000","Not-Applicable"
"aps public school(000000)","62","Aps public school","000000","Not-Applicable"
"aradhya patel(000000)","1","Aradhya Patel","000000","Not-Applicable"
"aravinda vidya mandiram(000000)","108","Aravinda Vidya Mandiram","000000","Not-Applicable"
"army public school bhopal(000000)","12","Army Public School Bhopal","000000","Not-Applicable"
"army public school jalandhar(000000)","13","Army public school Jalandhar","000000","Not-Applicable"
"army public school meerut cantt(000000)","4","Army public school meerut cantt","000000","Not-Applicable"
"arpit kumar chaturvedi(000000)","1","Arpit Kumar Chaturvedi","000000","Not-Applicable"
"arw(000000)","1","Arw","000000","Not-Applicable"
"arwachi n bharti bhawan school(000000)","2","Arwachi n bharti bhawan school","000000","Not-Applicable"
"arwachin bharti bhawan(000000)","9","Arwachin bharti bhawan","000000","Not-Applicable"
"arya academy international school(000000)","1","Arya Academy International school","000000","Not-Applicable"
"arya kanya degree college(000000)","11","Arya Kanya degree College","000000","Not-Applicable"
"arya girl sen sec school(000000)","3","Arya girl sen sec school","000000","Not-Applicable"
"arya girls senior secondary school(000000)","13","Arya girls senior secondary school","000000","Not-Applicable"
"aryan public school palliya ghazipur(000000)","1","Aryan public school PALLIYA Ghazipur","000000","Not-Applicable"
"asharam vedik inter college vikasnagar(000000)","1","Asharam vedik inter College vikasnagar","000000","Not-Applicable"
"asian christian high school(000000)","40","Asian Christian high school","000000","Not-Applicable"
"avani rajora(000000)","1","Avani rajora","000000","Not-Applicable"
"ayushmati college of education(000000)","63","Ayushmati college of education","000000","Not-Applicable"
"azara , guwahati, assam(000000)","1","Azara , Guwahati, Assam","000000","Not-Applicable"
"b-2(000000)","3","B-2","000000","Not-Applicable"
"b. b m. b d. a. v public school talwara(000000)","1","B. B M. B D. A. V Public school talwara","000000","Not-Applicable"
"b.b. d gov college chimanpura(000000)","1","B.B. D Gov college chimanpura","000000","Not-Applicable"
"b.v.m bhaderwah(000000)","1","B.v.m bhaderwah","000000","Not-Applicable"
"b.v.m high school(000000)","7","B.v.m high school","000000","Not-Applicable"
"b.v.m high school bhaderwah(000000)","2","B.v.m high school bhaderwah","000000","Not-Applicable"
"bbd govt  college(000000)","1","BBD govt  College","000000","Not-Applicable"
"beri(000000)","14","BERI","000000",""
"bhabha polytechnic pharmacy(000000)","3","BHABHA Polytechnic Pharmacy","000000","Not-Applicable"
"baba frid college(000000)","1","Baba frid college","000000","Not-Applicable"
"balbarti school(000000)","2","BalBarti School","000000","Not-Applicable"
"balvantray mehta vidya bhawan(000000)","4","Balvantray Mehta Vidya Bhawan","000000","Not-Applicable"
"barniyash(000000)","1","Barniyash","000000","Not-Applicable"
"beers heba senior secondary school(000000)","8","Beers heba senior secondary school","000000","Not-Applicable"
"beersheba sr sec school(000000)","6","Beersheba Sr Sec School","000000","Not-Applicable"
"beersheba school(000000)","4","Beersheba school","000000","Not-Applicable"
"bhabha university(000000)","294","Bhabha University","000000","Not-Applicable"
"bhabha university rkdf ips(000000)","8","Bhabha University RKDF IPS","000000","Not-Applicable"
"bhabha engineering(000000)","4","Bhabha engineering","000000","Not-Applicable"
"bhabha engineering college bhopal(000000)","1","Bhabha engineering college Bhopal","000000","Not-Applicable"
"bhabha engineering research institute(000000)","18","Bhabha engineering research institute","000000","Not-Applicable"
"bhabha pharmacy research institute(000000)","31","Bhabha pharmacy research institute","000000","Not-Applicable"
"bhabha university bhopal(000000)","39","Bhabha university bhopal","000000","Not-Applicable"
"bharam devi(000000)","1","Bharam devi","000000","Not-Applicable"
"bharati college(000000)","86","Bharati college","000000","Not-Applicable"
"bharatiya vidya mandir h/s(000000)","3","Bharatiya Vidya Mandir H/S","000000","Not-Applicable"
"bharatiya vidya mandir h/s bhaderwah(000000)","5","Bharatiya Vidya Mandir H/S Bhaderwah","000000","Not-Applicable"
"bharti college university of delhi(000000)","3","Bharti college University of Delhi","000000","Not-Applicable"
"bhartiya vidya mandir high school(000000)","1","Bhartiya Vidya mandir high school","000000","Not-Applicable"
"bhava university bhopal madhya pradesh(000000)","1","Bhava University Bhopal Madhya Pradesh","000000","Not-Applicable"
"bhavans adarsha vidyalaya(000000)","1","Bhavans adarsha vidyalaya","000000","Not-Applicable"
"bill clinton school(000000)","3","Bill Clinton School","000000","Not-Applicable"
"birla shishu vihar(000000)","2","Birla Shishu Vihar","000000","Not-Applicable"
"bohra public school(000000)","6","Bohra public school","000000","Not-Applicable"
"boon max english medium high school(000000)","5","Boon Max English Medium High School","000000","Not-Applicable"
"bright scholar school(000000)","5","Bright Scholar School","000000","Not-Applicable"
"brij public inter collage(000000)","1","Brij public inter collage","000000","Not-Applicable"
"brilliant public school(000000)","30","Brilliant public school","000000","Not-Applicable"
"bvm high school ramban(000000)","1","Bvm high school ramban","000000","Not-Applicable"
"c b guttal(000000)","1","C B guttal","000000","Not-Applicable"
"c l v p s v m i c(000000)","1","C l v p s v m I C","000000",""
"c.b.gupta saraswati vidyapeeth(000000)","2","C.B.Gupta saraswati vidyapeeth","000000","Not-Applicable"
"c.e.s college of arts and commerce(000000)","1","C.E.S College Of Arts And Commerce","000000","Not-Applicable"
"c.l.v.p.s.v.m.i.c.pilibhit(000000)","2","C.L.V.P.S.V.M.I.C.pilibhit","000000","Not-Applicable"
"c.l.v.p.s.v.m.inter college pilibhit(000000)","5","C.L.V.P.S.V.M.Inter college Pilibhit","000000","Not-Applicable"
"c.l.v.p.s.v.m.inter collage(000000)","3","C.L.V.P.S.V.M.inter collage","000000","Not-Applicable"
"c.r.p.f public school, sector-16b, dwarka,nd-75(000000)","2","C.R.P.F Public School, sector-16B, Dwarka,ND-75","000000",""
"c.l.v.p.s.v.m.i.c(000000)","3","C.l.v.p.s.v.m.I.c","000000",""
"clbp(000000)","1","CLBP","000000","Not-Applicable"
"clvp inter college(000000)","13","CLVP inter college","000000","Not-Applicable"
"clvpsvmic(000000)","4","CLVPSVMIC","000000","Not-Applicable"
"clvpsvmic pilibhit(000000)","5","CLVPSVMIC PILIBHIT","000000","Not-Applicable"
"cm raees(000000)","1","CM Raees","000000","Not-Applicable"
"cm rise nalkheda(000000)","1","CM Rise Nalkheda","000000","Not-Applicable"
"cambridge international school(000000)","13","Cambridge international school","000000","Not-Applicable"
"career planet sr. sec. school(000000)","5","Career Planet Sr. Sec. School","000000","Not-Applicable"
"career planet senior secondary school(000000)","3","Career planet senior secondary school","000000","Not-Applicable"
"carmel convent h.s school(000000)","3","Carmel Convent H.S school","000000","Not-Applicable"
"central academy english medium(000000)","1","Central academy english medium","000000",""
"central academy senior secondary school(000000)","5","Central academy senior secondary school","000000","Not-Applicable"
"chandigarh(000000)","1","Chandigarh","000000","Not-Applicable"
"chandrika meravi(000000)","1","Chandrika Meravi","000000","Not-Applicable"
"chartered english school(000000)","1","Chartered english school","000000","Not-Applicable"
"chetan vidya bharti cbse(000000)","1","Chetan Vidya Bharti cbse","000000","Not-Applicable"
"chinmaya vidyalaya(000000)","47","Chinmaya Vidyalaya","000000","Not-Applicable"
"chinmaya vidyalaya anna nagar(000000)","84","Chinmaya Vidyalaya Anna Nagar","000000","Not-Applicable"
"chiraunji lal  pilibhit(000000)","1","Chiraunji Lal  Pilibhit","000000","Not-Applicable"
"chiraunji lal virendra pal  pilibhit(000000)","1","Chiraunji Lal Virendra pal  Pilibhit","000000","Not-Applicable"
"chiraunji lal saraswati vidya mandir(000000)","7","Chiraunji lal Saraswati Vidya Mandir","000000","Not-Applicable"
"chiraunjilal(000000)","1","Chiraunjilal","000000","Not-Applicable"
"chiroji  lal  verendra pal  college(000000)","1","Chiroji  Lal  verendra Pal  College","000000","Not-Applicable"
"chironji lal virendra pal(000000)","1","Chironji Lal Virendra Pal","000000","Not-Applicable"
"city convent school(000000)","6","City convent school","000000","Not-Applicable"
"clvpsvmintercolloge(000000)","1","Clvpsvmintercolloge","000000","Not-Applicable"
"cm rise school(000000)","20","Cm rise school","000000","Not-Applicable"
"co operative arts and science(000000)","1","Co operative arts and science","000000","Not-Applicable"
"college(000000)","237","College","000000","Not-Applicable"
"college  j.m.p. takhatpur(000000)","1","College  J.M.P. Takhatpur","000000","Not-Applicable"
"college of technology and engineering(000000)","6","College of technology and engineering","000000","Not-Applicable"
"columbia convent(000000)","25","Columbia convent","000000","Not-Applicable"
"columbia convent school(000000)","3","Columbia convent school","000000","Not-Applicable"
"d. a. v hcl public school malanjkhand(000000)","2","D. A. V HCL PUBLIC SCHOOL MALANJKHAND","000000","Not-Applicable"
"d. a. v public school nigahi(000000)","7","D. A. V Public school Nigahi","000000",""
